,zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target,type,interaction_wealth_income,income_to_home_ratio,wealth_to_home_ratio,gift_to_income_ratio,average_gift_size_to_largest_gift_ratio,total_gifts_to_number_of_promotions,homeowner_children,zip_gender,time_since_last_gift_bucket
29,No,No,No,Yes,No,1,2,No,8,1557,317,393,8,32,44.0,7.0,7.0,28,6,5.5,Donor,train,16,0.0012845215157353885,0.005138086062941554,22.0,0.7857142857142857,1.375,No_1,No_No_No_Yes_No,24+
30,No,No,No,Yes,Yes,1,7,No,8,1324,568,599,4,36,68.0,10.0,5.0,31,13,5.666666667,Donor,train,56,0.005287009063444109,0.006042296072507553,9.714285714285714,0.5666666667,1.8888888888888888,Yes_1,No_No_No_Yes_No,24+
31,No,Yes,No,No,No,1,1,Yes,6,316,288,295,20,82,145.0,5.0,5.0,30,6,3.815789474,Donor,train,6,0.0031645569620253164,0.0189873417721519,145.0,0.7631578948,1.7682926829268293,No_1,No_Yes_No_No_Yes,24+
32,Yes,No,No,No,Yes,1,4,Yes,6,1267,364,451,8,34,92.0,10.0,8.0,30,9,7.076923077,No Donor,train,24,0.0031570639305445935,0.004735595895816891,23.0,0.7076923077,2.7058823529411766,Yes_1,Yes_No_No_No_Yes,24+
33,No,No,No,Yes,Yes,1,4,Yes,8,894,480,497,4,31,40.0,10.0,10.0,31,2,8.0,No Donor,train,32,0.0044742729306487695,0.008948545861297539,10.0,0.8,1.2903225806451613,Yes_1,No_No_No_Yes_Yes,24+
34,No,No,Yes,No,Yes,1,4,No,8,437,313,363,10,15,20.0,20.0,20.0,37,5,20.0,Donor,dev,32,0.009153318077803204,0.018306636155606407,5.0,1.0,1.3333333333333333,Yes_1,No_No_Yes_No_No,24+
35,No,No,Yes,No,Yes,1,7,Yes,8,750,438,454,10,21,40.0,25.0,15.0,33,4,20.0,Donor,train,56,0.009333333333333334,0.010666666666666666,5.714285714285714,0.8,1.9047619047619047,Yes_1,No_No_Yes_No_Yes,24+
36,No,Yes,No,No,No,2,2,Yes,8,623,379,388,6,43,37.0,9.0,5.0,29,3,3.7,No Donor,train,16,0.0032102728731942215,0.012841091492776886,18.5,0.41111111111111115,0.8604651162790697,No_2,No_Yes_No_No_Yes,24+
37,Yes,No,No,No,No,1,1,Yes,8,584,221,277,33,54,92.0,15.0,15.0,33,6,9.2,Donor,train,8,0.0017123287671232876,0.0136986301369863,92.0,0.6133333333333333,1.7037037037037037,No_1,Yes_No_No_No_Yes,24+
38,Yes,No,No,No,Yes,1,2,Yes,8,982,549,533,10,66,165.0,14.0,14.0,31,7,10.3125,No Donor,dev,16,0.002036659877800407,0.008146639511201629,82.5,0.7366071428571429,2.5,Yes_1,Yes_No_No_No_Yes,24+
39,Yes,No,No,No,Yes,1,4,No,8,527,290,328,22,27,25.0,10.0,3.0,32,3,4.166666667,No Donor,dev,32,0.007590132827324478,0.015180265654648957,6.25,0.4166666667,0.9259259259259259,Yes_1,Yes_No_No_No_No,24+
40,No,No,Yes,No,Yes,1,6,Yes,8,482,313,336,23,29,39.0,10.0,8.0,30,4,6.5,No Donor,train,48,0.012448132780082987,0.016597510373443983,6.5,0.65,1.3448275862068966,Yes_1,No_No_Yes_No_Yes,24+
41,No,No,No,Yes,Yes,1,5,Yes,5,786,353,401,5,61,111.0,13.0,12.0,32,8,11.1,No Donor,train,25,0.006361323155216285,0.006361323155216285,22.2,0.8538461538461538,1.819672131147541,Yes_1,No_No_No_Yes_Yes,24+
42,Yes,No,No,No,Yes,1,4,Yes,2,899,257,275,25,82,341.0,14.0,13.0,31,2,9.472222222,No Donor,train,8,0.004449388209121246,0.002224694104560623,85.25,0.6765873015714285,4.158536585365853,Yes_1,Yes_No_No_No_Yes,24+
43,No,No,No,Yes,No,1,4,Yes,9,404,278,328,21,58,130.0,30.0,30.0,37,8,18.57142857,Donor,train,36,0.009900990099009901,0.022277227722772276,32.5,0.6190476189999999,2.2413793103448274,No_1,No_No_No_Yes_Yes,24+
44,No,No,Yes,No,No,1,2,No,7,3002,824,884,2,30,31.0,16.0,16.0,37,11,10.33333333,No Donor,train,14,0.0006662225183211193,0.002331778814123917,15.5,0.645833333125,1.0333333333333334,No_1,No_No_Yes_No_No,24+
45,No,No,No,Yes,Yes,1,5,Yes,0,740,194,252,39,41,62.0,11.0,11.0,32,11,8.857142857,Donor,train,0,0.006756756756756757,0.0,12.4,0.8051948051818182,1.5121951219512195,Yes_1,No_No_No_Yes_Yes,24+
46,No,No,No,Yes,No,1,2,Yes,1,761,236,285,25,79,205.0,10.0,5.0,28,14,5.0,No Donor,train,2,0.002628120893561104,0.001314060446780552,102.5,0.5,2.5949367088607596,No_1,No_No_No_Yes_Yes,24+
47,No,No,Yes,No,No,1,1,Yes,5,595,324,407,5,65,77.0,15.0,15.0,30,15,9.625,Donor,train,5,0.0016806722689075631,0.008403361344537815,77.0,0.6416666666666667,1.1846153846153846,No_1,No_No_Yes_No_Yes,24+
48,Yes,No,No,No,Yes,1,3,Yes,7,929,387,438,3,81,249.0,35.0,15.0,23,1,16.6,No Donor,train,21,0.0032292787944025836,0.007534983853606028,83.0,0.4742857142857143,3.074074074074074,Yes_1,Yes_No_No_No_Yes,13-24
49,Yes,No,No,No,No,1,6,No,9,1389,533,605,1,42,67.0,25.0,20.0,33,24,16.75,No Donor,train,54,0.004319654427645789,0.0064794816414686825,11.166666666666666,0.67,1.5952380952380953,No_1,Yes_No_No_No_No,24+
50,No,No,No,Yes,Yes,1,2,Yes,8,937,388,490,6,34,39.0,7.0,5.0,33,23,5.571428571,No Donor,train,16,0.0021344717182497333,0.008537886872998933,19.5,0.7959183672857143,1.1470588235294117,Yes_1,No_No_No_Yes_Yes,24+
51,No,Yes,No,No,Yes,1,4,No,8,584,298,299,17,46,79.0,7.0,7.0,30,6,5.266666667,Donor,train,32,0.00684931506849315,0.0136986301369863,19.75,0.7523809524285714,1.7173913043478262,Yes_1,No_Yes_No_No_No,24+
52,No,Yes,No,No,Yes,1,4,Yes,0,494,232,265,29,38,48.0,12.0,5.0,32,4,8.0,Donor,dev,0,0.008097165991902834,0.0,12.0,0.6666666666666666,1.263157894736842,Yes_1,No_Yes_No_No_Yes,24+
53,No,No,Yes,No,Yes,1,4,Yes,3,1021,463,533,0,108,430.0,14.0,10.0,30,0,10.0,No Donor,train,12,0.0039177277179236044,0.002938295788442703,107.5,0.7142857142857143,3.9814814814814814,Yes_1,No_No_Yes_No_Yes,24+
54,Yes,No,No,No,Yes,1,2,Yes,8,615,373,430,18,37,51.0,8.0,6.0,29,4,5.666666667,No Donor,train,16,0.0032520325203252032,0.013008130081300813,25.5,0.708333333375,1.3783783783783783,Yes_1,Yes_No_No_No_Yes,24+
55,No,No,No,Yes,Yes,1,5,Yes,8,4064,1469,1183,1,20,18.0,15.0,15.0,34,7,9.0,Donor,train,40,0.0012303149606299212,0.001968503937007874,3.6,0.6,0.9,Yes_1,No_No_No_Yes_Yes,24+
56,No,No,No,Yes,Yes,1,4,No,6,0,68,89,90,58,82.0,6.0,6.0,30,2,4.555555556,Donor,dev,24,inf,inf,20.5,0.7592592593333333,1.4137931034482758,Yes_1,No_No_No_Yes_No,24+
57,Yes,No,No,No,Yes,1,2,Yes,8,1062,382,478,7,35,49.0,8.0,6.0,30,3,4.9,Donor,train,16,0.0018832391713747645,0.007532956685499058,24.5,0.6125,1.4,Yes_1,Yes_No_No_No_Yes,24+
58,No,No,No,Yes,No,1,5,No,8,2194,464,506,6,43,119.0,30.0,22.0,23,1,10.81818182,Donor,dev,40,0.0022789425706472195,0.0036463081130355514,23.8,0.3606060606666667,2.7674418604651163,No_1,No_No_No_Yes_No,13-24
59,No,No,Yes,No,Yes,1,3,Yes,2,669,206,241,31,65,82.0,11.0,10.0,32,4,6.833333333,Donor,train,6,0.004484304932735426,0.0029895366218236174,27.333333333333332,0.6212121211818181,1.2615384615384615,Yes_1,No_No_Yes_No_Yes,24+
60,No,No,No,Yes,Yes,1,2,Yes,2,1570,288,379,26,73,159.0,12.0,10.0,29,18,9.9375,No Donor,train,4,0.0012738853503184713,0.0012738853503184713,79.5,0.828125,2.1780821917808217,Yes_1,No_No_No_Yes_Yes,24+
61,No,Yes,No,No,No,1,2,No,1,395,217,269,29,63,64.0,6.0,6.0,31,9,3.555555556,Donor,dev,2,0.005063291139240506,0.002531645569620253,32.0,0.5925925926666666,1.0158730158730158,No_1,No_Yes_No_No_No,24+
62,Yes,No,No,No,No,1,1,Yes,3,879,256,295,23,63,93.0,12.0,12.0,30,4,5.8125,Donor,train,3,0.0011376564277588168,0.0034129692832764505,93.0,0.484375,1.4761904761904763,No_1,Yes_No_No_No_Yes,24+
63,No,No,No,Yes,Yes,1,4,Yes,3,1802,298,378,18,74,113.0,20.0,5.0,33,14,8.071428571,No Donor,train,12,0.0022197558268590455,0.001664816870144284,28.25,0.40357142855,1.527027027027027,Yes_1,No_No_No_Yes_Yes,24+
64,No,Yes,No,No,Yes,1,3,No,1,561,296,369,20,89,121.0,10.0,10.0,28,3,6.368421053,Donor,dev,3,0.0053475935828877,0.0017825311942959,40.333333333333336,0.6368421053,1.3595505617977528,Yes_1,No_Yes_No_No_No,24+
65,No,Yes,No,No,Yes,1,3,No,8,329,192,202,45,21,25.0,20.0,20.0,30,7,12.5,Donor,train,24,0.00911854103343465,0.0243161094224924,8.333333333333334,0.625,1.1904761904761905,Yes_1,No_Yes_No_No_No,24+
66,No,No,Yes,No,No,1,5,No,8,1243,504,590,4,27,28.0,10.0,8.0,31,8,7.0,Donor,train,40,0.004022526146419952,0.006436041834271922,5.6,0.7,1.037037037037037,No_1,No_No_Yes_No_No,24+
67,No,Yes,No,No,No,1,1,No,3,573,357,362,9,129,398.0,25.0,25.0,18,0,12.4375,Donor,dev,3,0.0017452006980802793,0.005235602094240838,398.0,0.4975,3.0852713178294575,No_1,No_Yes_No_No_No,13-24
68,No,No,Yes,No,Yes,1,4,No,6,1176,423,509,3,60,162.0,15.0,14.0,34,5,10.125,No Donor,train,24,0.003401360544217687,0.00510204081632653,40.5,0.675,2.7,Yes_1,No_No_Yes_No_No,24+
69,Yes,No,No,No,Yes,1,4,No,8,1041,466,527,4,57,191.0,10.0,10.0,31,5,8.304347826,No Donor,train,32,0.0038424591738712775,0.007684918347742555,47.75,0.8304347826,3.3508771929824563,Yes_1,Yes_No_No_No_No,24+
70,No,No,No,Yes,Yes,1,4,No,8,629,283,329,21,24,32.0,7.0,5.0,29,14,5.333333333,No Donor,train,32,0.006359300476947536,0.012718600953895072,8.0,0.7619047618571428,1.3333333333333333,Yes_1,No_No_No_Yes_No,24+
71,No,Yes,No,No,Yes,1,4,Yes,6,596,330,345,8,74,130.0,20.0,10.0,30,8,6.842105263,No Donor,train,24,0.006711409395973154,0.010067114093959731,32.5,0.34210526315,1.7567567567567568,Yes_1,No_Yes_No_No_Yes,24+
72,Yes,No,No,No,Yes,1,7,No,8,807,463,476,1,16,20.0,20.0,20.0,36,5,20.0,No Donor,train,56,0.008674101610904586,0.009913258983890954,2.857142857142857,1.0,1.25,Yes_1,Yes_No_No_No_No,24+
73,No,No,No,Yes,Yes,1,6,Yes,8,1710,502,580,9,31,30.0,5.0,3.0,30,2,3.0,No Donor,train,48,0.0035087719298245615,0.004678362573099415,5.0,0.6,0.967741935483871,Yes_1,No_No_No_Yes_Yes,24+
74,No,No,Yes,No,Yes,1,4,Yes,8,763,412,480,3,24,26.0,16.0,16.0,37,8,13.0,No Donor,train,32,0.005242463958060288,0.010484927916120577,6.5,0.8125,1.0833333333333333,Yes_1,No_No_Yes_No_Yes,24+
75,No,Yes,No,No,Yes,1,2,Yes,6,806,432,475,1,68,87.0,5.0,5.0,28,20,2.9,No Donor,train,12,0.0024813895781637717,0.007444168734491315,43.5,0.58,1.2794117647058822,Yes_1,No_Yes_No_No_Yes,24+
76,No,No,No,Yes,Yes,1,5,Yes,8,2463,406,460,15,86,305.0,11.0,10.0,17,7,8.714285714,Donor,train,40,0.0020300446609825416,0.0032480714575720666,61.0,0.7922077921818182,3.546511627906977,Yes_1,No_No_No_Yes_Yes,13-24
77,No,Yes,No,No,No,1,1,No,8,409,294,337,18,55,67.0,6.0,6.0,30,6,3.722222222,Donor,dev,8,0.0024449877750611247,0.019559902200488997,67.0,0.6203703703333333,1.2181818181818183,No_1,No_Yes_No_No_No,24+
78,No,No,Yes,No,Yes,1,4,Yes,9,1676,629,680,2,53,88.0,15.0,10.0,30,15,9.777777778,No Donor,train,36,0.002386634844868735,0.0053699284009546535,22.0,0.6518518518666667,1.6603773584905661,Yes_1,No_No_Yes_No_Yes,24+
79,Yes,No,No,No,Yes,1,4,Yes,8,651,218,300,24,32,119.0,13.0,11.0,31,2,10.81818182,No Donor,dev,32,0.006144393241167435,0.01228878648233487,29.75,0.8321678323076923,3.71875,Yes_1,Yes_No_No_No_Yes,24+
80,Yes,No,No,No,No,1,2,Yes,8,503,235,275,31,24,27.0,10.0,7.0,35,4,6.75,No Donor,train,16,0.003976143141153081,0.015904572564612324,13.5,0.675,1.125,No_1,Yes_No_No_No_Yes,24+
81,No,No,Yes,No,Yes,1,4,No,8,360,279,316,18,27,44.0,10.0,10.0,31,1,8.8,No Donor,dev,32,0.011111111111111112,0.022222222222222223,11.0,0.8800000000000001,1.6296296296296295,Yes_1,No_No_Yes_No_No,24+
82,No,Yes,No,No,Yes,1,4,Yes,4,494,357,372,6,61,103.0,15.0,10.0,29,4,9.363636364,Donor,train,16,0.008097165991902834,0.008097165991902834,25.75,0.6242424242666667,1.6885245901639345,Yes_1,No_Yes_No_No_Yes,24+
83,No,Yes,No,No,Yes,1,1,No,8,389,276,313,19,32,35.0,10.0,5.0,28,16,5.0,Donor,train,8,0.002570694087403599,0.02056555269922879,35.0,0.5,1.09375,Yes_1,No_Yes_No_No_No,24+
84,No,No,Yes,No,Yes,1,5,Yes,7,1148,496,547,6,49,38.0,6.0,2.0,32,7,3.454545455,No Donor,dev,35,0.004355400696864111,0.006097560975609756,7.6,0.5757575758333333,0.7755102040816326,Yes_1,No_No_Yes_No_Yes,24+
85,Yes,No,No,No,No,1,1,No,3,505,264,299,25,73,87.0,6.0,5.0,31,5,3.782608696,Donor,train,3,0.0019801980198019802,0.005940594059405941,87.0,0.6304347826666666,1.1917808219178083,No_1,Yes_No_No_No_No,24+
86,No,No,No,Yes,Yes,1,5,Yes,8,2464,568,617,8,55,90.0,10.0,10.0,35,4,6.923076923,Donor,train,40,0.002029220779220779,0.003246753246753247,18.0,0.6923076923,1.6363636363636365,Yes_1,No_No_No_Yes_Yes,24+
87,No,Yes,No,No,No,1,3,No,1,323,267,303,22,57,79.0,7.0,5.0,30,9,4.9375,Donor,dev,3,0.009287925696594427,0.0030959752321981426,26.333333333333332,0.7053571428571429,1.3859649122807018,No_1,No_Yes_No_No_No,24+
88,No,No,No,Yes,Yes,1,4,Yes,8,775,359,420,7,55,50.0,5.0,5.0,29,12,5.0,Donor,train,32,0.005161290322580645,0.01032258064516129,12.5,1.0,0.9090909090909091,Yes_1,No_No_No_Yes_Yes,24+
89,No,No,No,Yes,Yes,1,1,Yes,0,1243,148,223,50,66,85.0,5.0,3.0,26,12,3.035714286,Donor,train,0,0.0008045052292839903,0.0,85.0,0.6071428572,1.2878787878787878,Yes_1,No_No_No_Yes_Yes,24+
90,No,No,No,Yes,Yes,1,2,Yes,9,452,234,243,30,62,113.0,15.0,12.0,33,3,10.27272727,Donor,train,18,0.004424778761061947,0.01991150442477876,56.5,0.6848484846666667,1.8225806451612903,Yes_1,No_No_No_Yes_Yes,24+
91,No,No,No,Yes,Yes,1,5,No,7,1388,438,444,11,98,250.0,25.0,25.0,19,2,13.15789474,No Donor,train,35,0.0036023054755043226,0.005043227665706052,50.0,0.5263157896,2.5510204081632653,Yes_1,No_No_No_Yes_No,13-24
92,No,No,Yes,No,Yes,1,6,No,8,1195,619,639,3,19,30.0,7.0,7.0,31,2,6.0,Donor,train,48,0.00502092050209205,0.0066945606694560665,5.0,0.8571428571428571,1.5789473684210527,Yes_1,No_No_Yes_No_No,24+
93,No,No,Yes,No,Yes,2,5,Yes,8,561,353,374,6,20,25.0,12.0,3.0,28,8,8.333333333,No Donor,train,40,0.008912655971479501,0.0142602495543672,5.0,0.6944444444166668,1.25,Yes_2,No_No_Yes_No_Yes,24+
94,No,No,No,Yes,Yes,1,5,No,8,2351,604,589,3,61,280.0,25.0,10.0,31,3,15.55555556,Donor,train,40,0.002126754572522331,0.0034028073160357296,56.0,0.6222222224,4.590163934426229,Yes_1,No_No_No_Yes_No,24+
95,No,No,No,Yes,Yes,1,4,Yes,8,1661,311,361,18,55,147.0,20.0,10.0,32,12,10.5,Donor,dev,32,0.002408187838651415,0.00481637567730283,36.75,0.525,2.672727272727273,Yes_1,No_No_No_Yes_Yes,24+
96,No,No,Yes,No,Yes,1,1,No,1,407,198,230,39,38,70.0,25.0,25.0,37,15,23.33333333,No Donor,train,1,0.002457002457002457,0.002457002457002457,70.0,0.9333333331999999,1.8421052631578947,Yes_1,No_No_Yes_No_No,24+
97,No,No,Yes,No,Yes,1,7,Yes,7,672,423,480,4,94,221.09,15.0,10.0,33,6,8.8436,No Donor,train,49,0.010416666666666666,0.010416666666666666,31.584285714285716,0.5895733333333334,2.3520212765957447,Yes_1,No_No_Yes_No_Yes,24+
98,No,No,No,Yes,Yes,1,4,Yes,4,940,355,384,10,42,57.0,15.0,15.0,31,19,9.5,Donor,train,16,0.00425531914893617,0.00425531914893617,14.25,0.6333333333333333,1.3571428571428572,Yes_1,No_No_No_Yes_Yes,24+
99,No,No,No,Yes,Yes,3,3,Yes,8,949,273,315,24,32,108.0,12.0,12.0,29,3,10.8,No Donor,train,24,0.003161222339304531,0.008429926238145416,36.0,0.9,3.375,Yes_3,No_No_No_Yes_Yes,24+
100,Yes,No,No,No,Yes,1,5,Yes,8,1101,430,520,6,56,153.0,25.0,20.0,21,8,15.3,Donor,train,40,0.004541326067211626,0.007266121707538601,30.6,0.612,2.732142857142857,Yes_1,Yes_No_No_No_Yes,13-24
101,No,No,Yes,No,Yes,1,7,Yes,8,1024,366,399,7,45,89.0,9.0,9.0,30,15,5.235294118,Donor,train,56,0.0068359375,0.0078125,12.714285714285714,0.5816993464444444,1.9777777777777779,Yes_1,No_No_Yes_No_Yes,24+
102,No,No,No,Yes,No,1,5,No,3,453,267,277,24,57,129.0,12.0,10.0,28,6,8.0625,No Donor,train,15,0.011037527593818985,0.006622516556291391,25.8,0.671875,2.263157894736842,No_1,No_No_No_Yes_No,24+
103,Yes,No,No,No,Yes,1,2,Yes,4,622,314,330,10,82,311.0,15.0,10.0,34,6,8.885714286,No Donor,dev,8,0.003215434083601286,0.006430868167202572,155.5,0.5923809524,3.792682926829268,Yes_1,Yes_No_No_No_Yes,24+
104,No,No,No,Yes,Yes,1,3,Yes,8,403,301,297,20,23,46.0,8.0,8.0,30,2,6.571428571,No Donor,dev,24,0.007444168734491315,0.019851116625310174,15.333333333333334,0.821428571375,2.0,Yes_1,No_No_No_Yes_Yes,24+
105,No,No,No,Yes,No,1,3,Yes,1,1567,342,464,16,34,55.0,5.0,5.0,29,14,5.0,Donor,train,3,0.0019144862795149968,0.0006381620931716656,18.333333333333332,1.0,1.6176470588235294,No_1,No_No_No_Yes_Yes,24+
106,No,No,Yes,No,Yes,1,5,No,5,490,350,346,17,43,52.0,15.0,15.0,36,6,10.4,No Donor,train,25,0.01020408163265306,0.01020408163265306,10.4,0.6933333333333334,1.2093023255813953,Yes_1,No_No_Yes_No_No,24+
107,No,No,No,Yes,No,1,5,Yes,8,3200,610,642,12,28,98.0,25.0,20.0,36,1,19.6,Donor,train,40,0.0015625,0.0025,19.6,0.784,3.5,No_1,No_No_No_Yes_Yes,24+
108,No,No,Yes,No,No,1,4,No,5,620,388,405,16,52,107.0,15.0,11.0,35,6,9.727272727,No Donor,dev,20,0.0064516129032258064,0.008064516129032258,26.75,0.6484848484666668,2.0576923076923075,No_1,No_No_Yes_No_No,24+
