,zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target,type
15,No,Yes,No,No,Yes,1,4,No,9,1044,522,612,2,68,290.0,50.0,50.0,37,10,36.25,No Donor,train
16,No,No,Yes,No,Yes,1,4,No,8,1033,542,628,3,41,66.0,8.0,4.0,31,10,6.0,No Donor,train
17,No,No,No,Yes,Yes,1,5,Yes,8,1573,409,487,11,38,35.0,10.0,5.0,29,4,5.833333333,Donor,dev
18,No,No,Yes,No,No,1,4,Yes,8,567,279,327,20,24,48.0,16.0,16.0,35,2,12.0,No Donor,train
19,No,No,Yes,No,No,1,1,No,6,315,176,253,38,60,137.0,8.0,7.0,36,4,5.956521739,Donor,train
20,No,No,No,Yes,Yes,1,4,Yes,7,1245,452,457,7,35,55.0,15.0,15.0,32,24,13.75,No Donor,train
21,No,No,Yes,No,Yes,1,2,Yes,8,278,224,256,25,48,48.0,10.0,5.0,31,9,5.333333333,No Donor,train
22,No,No,Yes,No,Yes,1,2,No,8,250,200,237,34,23,27.0,15.0,5.0,33,2,6.75,No Donor,train
23,Yes,No,No,No,No,1,4,Yes,8,432,240,284,19,23,28.0,10.0,10.0,29,4,7.0,Donor,train
24,No,No,No,Yes,Yes,1,7,Yes,4,511,254,316,30,74,136.0,20.0,15.0,34,4,7.157894737,No Donor,dev
25,No,No,Yes,No,Yes,1,4,Yes,8,382,195,268,36,70,108.0,13.0,12.0,32,13,8.307692308,No Donor,train
26,Yes,No,No,No,Yes,1,2,Yes,1,592,223,254,29,47,47.0,5.0,5.0,31,7,3.357142857,Donor,train
27,Yes,No,No,No,Yes,2,4,Yes,8,518,401,396,7,23,40.0,20.0,20.0,31,4,13.33333333,No Donor,train
28,No,Yes,No,No,Yes,1,2,No,4,371,356,344,13,62,118.0,14.0,13.0,29,13,9.833333333,No Donor,train
29,No,No,No,Yes,No,1,2,No,8,1557,317,393,8,32,44.0,7.0,7.0,28,6,5.5,Donor,train
30,No,No,No,Yes,Yes,1,7,No,8,1324,568,599,4,36,68.0,10.0,5.0,31,13,5.666666667,Donor,train
31,No,Yes,No,No,No,1,1,Yes,6,316,288,295,20,82,145.0,5.0,5.0,30,6,3.815789474,Donor,train
32,Yes,No,No,No,Yes,1,4,Yes,6,1267,364,451,8,34,92.0,10.0,8.0,30,9,7.076923077,No Donor,train
33,No,No,No,Yes,Yes,1,4,Yes,8,894,480,497,4,31,40.0,10.0,10.0,31,2,8.0,No Donor,train
34,No,No,Yes,No,Yes,1,4,No,8,437,313,363,10,15,20.0,20.0,20.0,37,5,20.0,Donor,dev
35,No,No,Yes,No,Yes,1,7,Yes,8,750,438,454,10,21,40.0,25.0,15.0,33,4,20.0,Donor,train
36,No,Yes,No,No,No,2,2,Yes,8,623,379,388,6,43,37.0,9.0,5.0,29,3,3.7,No Donor,train
37,Yes,No,No,No,No,1,1,Yes,8,584,221,277,33,54,92.0,15.0,15.0,33,6,9.2,Donor,train
38,Yes,No,No,No,Yes,1,2,Yes,8,982,549,533,10,66,165.0,14.0,14.0,31,7,10.3125,No Donor,dev
39,Yes,No,No,No,Yes,1,4,No,8,527,290,328,22,27,25.0,10.0,3.0,32,3,4.166666667,No Donor,dev
40,No,No,Yes,No,Yes,1,6,Yes,8,482,313,336,23,29,39.0,10.0,8.0,30,4,6.5,No Donor,train
41,No,No,No,Yes,Yes,1,5,Yes,5,786,353,401,5,61,111.0,13.0,12.0,32,8,11.1,No Donor,train
42,Yes,No,No,No,Yes,1,4,Yes,2,899,257,275,25,82,341.0,14.0,13.0,31,2,9.472222222,No Donor,train
43,No,No,No,Yes,No,1,4,Yes,9,404,278,328,21,58,130.0,30.0,30.0,37,8,18.57142857,Donor,train
44,No,No,Yes,No,No,1,2,No,7,3002,824,884,2,30,31.0,16.0,16.0,37,11,10.33333333,No Donor,train
45,No,No,No,Yes,Yes,1,5,Yes,0,740,194,252,39,41,62.0,11.0,11.0,32,11,8.857142857,Donor,train
46,No,No,No,Yes,No,1,2,Yes,1,761,236,285,25,79,205.0,10.0,5.0,28,14,5.0,No Donor,train
47,No,No,Yes,No,No,1,1,Yes,5,595,324,407,5,65,77.0,15.0,15.0,30,15,9.625,Donor,train
48,Yes,No,No,No,Yes,1,3,Yes,7,929,387,438,3,81,249.0,35.0,15.0,23,1,16.6,No Donor,train
49,Yes,No,No,No,No,1,6,No,9,1389,533,605,1,42,67.0,25.0,20.0,33,24,16.75,No Donor,train
50,No,No,No,Yes,Yes,1,2,Yes,8,937,388,490,6,34,39.0,7.0,5.0,33,23,5.571428571,No Donor,train
51,No,Yes,No,No,Yes,1,4,No,8,584,298,299,17,46,79.0,7.0,7.0,30,6,5.266666667,Donor,train
52,No,Yes,No,No,Yes,1,4,Yes,0,494,232,265,29,38,48.0,12.0,5.0,32,4,8.0,Donor,dev
53,No,No,Yes,No,Yes,1,4,Yes,3,1021,463,533,0,108,430.0,14.0,10.0,30,0,10.0,No Donor,train
54,Yes,No,No,No,Yes,1,2,Yes,8,615,373,430,18,37,51.0,8.0,6.0,29,4,5.666666667,No Donor,train
55,No,No,No,Yes,Yes,1,5,Yes,8,4064,1469,1183,1,20,18.0,15.0,15.0,34,7,9.0,Donor,train
56,No,No,No,Yes,Yes,1,4,No,6,0,68,89,90,58,82.0,6.0,6.0,30,2,4.555555556,Donor,dev
57,Yes,No,No,No,Yes,1,2,Yes,8,1062,382,478,7,35,49.0,8.0,6.0,30,3,4.9,Donor,train
58,No,No,No,Yes,No,1,5,No,8,2194,464,506,6,43,119.0,30.0,22.0,23,1,10.81818182,Donor,dev
59,No,No,Yes,No,Yes,1,3,Yes,2,669,206,241,31,65,82.0,11.0,10.0,32,4,6.833333333,Donor,train
60,No,No,No,Yes,Yes,1,2,Yes,2,1570,288,379,26,73,159.0,12.0,10.0,29,18,9.9375,No Donor,train
61,No,Yes,No,No,No,1,2,No,1,395,217,269,29,63,64.0,6.0,6.0,31,9,3.555555556,Donor,dev
62,Yes,No,No,No,No,1,1,Yes,3,879,256,295,23,63,93.0,12.0,12.0,30,4,5.8125,Donor,train
63,No,No,No,Yes,Yes,1,4,Yes,3,1802,298,378,18,74,113.0,20.0,5.0,33,14,8.071428571,No Donor,train
64,No,Yes,No,No,Yes,1,3,No,1,561,296,369,20,89,121.0,10.0,10.0,28,3,6.368421053,Donor,dev
65,No,Yes,No,No,Yes,1,3,No,8,329,192,202,45,21,25.0,20.0,20.0,30,7,12.5,Donor,train
66,No,No,Yes,No,No,1,5,No,8,1243,504,590,4,27,28.0,10.0,8.0,31,8,7.0,Donor,train
67,No,Yes,No,No,No,1,1,No,3,573,357,362,9,129,398.0,25.0,25.0,18,0,12.4375,Donor,dev
68,No,No,Yes,No,Yes,1,4,No,6,1176,423,509,3,60,162.0,15.0,14.0,34,5,10.125,No Donor,train
69,Yes,No,No,No,Yes,1,4,No,8,1041,466,527,4,57,191.0,10.0,10.0,31,5,8.304347826,No Donor,train
70,No,No,No,Yes,Yes,1,4,No,8,629,283,329,21,24,32.0,7.0,5.0,29,14,5.333333333,No Donor,train
71,No,Yes,No,No,Yes,1,4,Yes,6,596,330,345,8,74,130.0,20.0,10.0,30,8,6.842105263,No Donor,train
72,Yes,No,No,No,Yes,1,7,No,8,807,463,476,1,16,20.0,20.0,20.0,36,5,20.0,No Donor,train
73,No,No,No,Yes,Yes,1,6,Yes,8,1710,502,580,9,31,30.0,5.0,3.0,30,2,3.0,No Donor,train
74,No,No,Yes,No,Yes,1,4,Yes,8,763,412,480,3,24,26.0,16.0,16.0,37,8,13.0,No Donor,train
75,No,Yes,No,No,Yes,1,2,Yes,6,806,432,475,1,68,87.0,5.0,5.0,28,20,2.9,No Donor,train
76,No,No,No,Yes,Yes,1,5,Yes,8,2463,406,460,15,86,305.0,11.0,10.0,17,7,8.714285714,Donor,train
77,No,Yes,No,No,No,1,1,No,8,409,294,337,18,55,67.0,6.0,6.0,30,6,3.722222222,Donor,dev
78,No,No,Yes,No,Yes,1,4,Yes,9,1676,629,680,2,53,88.0,15.0,10.0,30,15,9.777777778,No Donor,train
79,Yes,No,No,No,Yes,1,4,Yes,8,651,218,300,24,32,119.0,13.0,11.0,31,2,10.81818182,No Donor,dev
80,Yes,No,No,No,No,1,2,Yes,8,503,235,275,31,24,27.0,10.0,7.0,35,4,6.75,No Donor,train
81,No,No,Yes,No,Yes,1,4,No,8,360,279,316,18,27,44.0,10.0,10.0,31,1,8.8,No Donor,dev
82,No,Yes,No,No,Yes,1,4,Yes,4,494,357,372,6,61,103.0,15.0,10.0,29,4,9.363636364,Donor,train
83,No,Yes,No,No,Yes,1,1,No,8,389,276,313,19,32,35.0,10.0,5.0,28,16,5.0,Donor,train
84,No,No,Yes,No,Yes,1,5,Yes,7,1148,496,547,6,49,38.0,6.0,2.0,32,7,3.454545455,No Donor,dev
85,Yes,No,No,No,No,1,1,No,3,505,264,299,25,73,87.0,6.0,5.0,31,5,3.782608696,Donor,train
86,No,No,No,Yes,Yes,1,5,Yes,8,2464,568,617,8,55,90.0,10.0,10.0,35,4,6.923076923,Donor,train
87,No,Yes,No,No,No,1,3,No,1,323,267,303,22,57,79.0,7.0,5.0,30,9,4.9375,Donor,dev
88,No,No,No,Yes,Yes,1,4,Yes,8,775,359,420,7,55,50.0,5.0,5.0,29,12,5.0,Donor,train
89,No,No,No,Yes,Yes,1,1,Yes,0,1243,148,223,50,66,85.0,5.0,3.0,26,12,3.035714286,Donor,train
90,No,No,No,Yes,Yes,1,2,Yes,9,452,234,243,30,62,113.0,15.0,12.0,33,3,10.27272727,Donor,train
91,No,No,No,Yes,Yes,1,5,No,7,1388,438,444,11,98,250.0,25.0,25.0,19,2,13.15789474,No Donor,train
92,No,No,Yes,No,Yes,1,6,No,8,1195,619,639,3,19,30.0,7.0,7.0,31,2,6.0,Donor,train
93,No,No,Yes,No,Yes,2,5,Yes,8,561,353,374,6,20,25.0,12.0,3.0,28,8,8.333333333,No Donor,train
94,No,No,No,Yes,Yes,1,5,No,8,2351,604,589,3,61,280.0,25.0,10.0,31,3,15.55555556,Donor,train
95,No,No,No,Yes,Yes,1,4,Yes,8,1661,311,361,18,55,147.0,20.0,10.0,32,12,10.5,Donor,dev
96,No,No,Yes,No,Yes,1,1,No,1,407,198,230,39,38,70.0,25.0,25.0,37,15,23.33333333,No Donor,train
97,No,No,Yes,No,Yes,1,7,Yes,7,672,423,480,4,94,221.09,15.0,10.0,33,6,8.8436,No Donor,train
98,No,No,No,Yes,Yes,1,4,Yes,4,940,355,384,10,42,57.0,15.0,15.0,31,19,9.5,Donor,train
99,No,No,No,Yes,Yes,3,3,Yes,8,949,273,315,24,32,108.0,12.0,12.0,29,3,10.8,No Donor,train
100,Yes,No,No,No,Yes,1,5,Yes,8,1101,430,520,6,56,153.0,25.0,20.0,21,8,15.3,Donor,train
101,No,No,Yes,No,Yes,1,7,Yes,8,1024,366,399,7,45,89.0,9.0,9.0,30,15,5.235294118,Donor,train
102,No,No,No,Yes,No,1,5,No,3,453,267,277,24,57,129.0,12.0,10.0,28,6,8.0625,No Donor,train
103,Yes,No,No,No,Yes,1,2,Yes,4,622,314,330,10,82,311.0,15.0,10.0,34,6,8.885714286,No Donor,dev
104,No,No,No,Yes,Yes,1,3,Yes,8,403,301,297,20,23,46.0,8.0,8.0,30,2,6.571428571,No Donor,dev
105,No,No,No,Yes,No,1,3,Yes,1,1567,342,464,16,34,55.0,5.0,5.0,29,14,5.0,Donor,train
106,No,No,Yes,No,Yes,1,5,No,5,490,350,346,17,43,52.0,15.0,15.0,36,6,10.4,No Donor,train
107,No,No,No,Yes,No,1,5,Yes,8,3200,610,642,12,28,98.0,25.0,20.0,36,1,19.6,Donor,train
108,No,No,Yes,No,No,1,4,No,5,620,388,405,16,52,107.0,15.0,11.0,35,6,9.727272727,No Donor,dev
109,No,No,No,Yes,Yes,1,7,No,8,3496,816,857,3,17,25.0,20.0,20.0,34,3,12.5,No Donor,train
110,No,No,No,No,No,1,2,No,8,4607,587,658,5,24,36.0,11.0,10.0,29,7,9.0,No Donor,dev
111,Yes,No,No,No,Yes,1,1,No,8,985,310,371,16,78,146.0,10.0,7.0,29,4,6.952380952,No Donor,train
112,No,No,Yes,No,Yes,1,5,No,4,1039,604,684,2,74,105.0,5.0,5.0,28,4,5.0,Donor,train
113,No,Yes,No,No,Yes,1,4,No,2,610,281,328,16,50,161.0,25.0,10.0,36,5,10.0625,Donor,train
114,No,No,No,Yes,Yes,1,4,Yes,3,462,270,307,21,95,2200.0,100.0,39.0,19,62,26.82926829,Donor,train
115,No,No,No,Yes,Yes,1,4,No,8,1667,169,269,40,36,66.0,7.0,5.0,30,2,5.5,Donor,train
116,No,No,No,Yes,Yes,1,4,Yes,8,601,288,330,26,29,36.0,11.0,10.0,32,8,9.0,No Donor,train
117,No,No,Yes,No,Yes,1,4,No,8,781,372,466,13,37,122.0,20.0,6.0,28,3,12.2,No Donor,dev
118,No,No,No,Yes,Yes,1,6,Yes,8,1758,459,521,6,27,95.0,25.0,25.0,29,5,19.0,No Donor,train
119,Yes,No,No,No,Yes,1,5,No,3,604,256,379,22,37,70.0,20.0,18.0,37,2,14.0,No Donor,train
120,Yes,No,No,No,Yes,1,4,No,2,625,256,324,31,68,84.0,10.0,2.0,30,6,3.818181818,No Donor,dev
121,No,No,No,Yes,Yes,1,4,Yes,8,1525,517,632,10,39,77.0,9.0,5.0,30,10,6.416666667,No Donor,dev
122,No,No,No,Yes,Yes,1,1,Yes,4,1172,473,608,0,112,322.25,20.0,10.0,17,5,4.475694444,No Donor,train
123,Yes,No,No,No,No,1,5,Yes,8,1519,650,705,7,49,91.0,15.0,10.0,35,5,7.583333333,Donor,train
124,No,No,No,Yes,Yes,1,3,Yes,1,732,261,298,23,78,145.0,10.0,5.0,32,6,6.304347826,No Donor,train
125,Yes,No,No,No,Yes,1,5,No,8,279,323,308,5,27,44.0,20.0,12.0,29,5,11.0,Donor,train
126,No,No,No,Yes,Yes,1,4,Yes,8,423,271,313,18,51,80.0,7.0,7.0,32,3,5.0,No Donor,train
127,Yes,No,No,No,Yes,1,2,Yes,9,1150,573,653,3,48,120.65,25.0,10.0,29,7,10.96818182,Donor,train
128,Yes,No,No,No,Yes,3,5,Yes,8,887,488,522,2,61,77.0,20.0,20.0,37,16,12.83333333,No Donor,train
129,No,No,No,Yes,Yes,1,2,Yes,8,1539,358,391,13,37,115.0,25.0,25.0,28,4,19.16666667,Donor,train
130,No,No,No,Yes,Yes,1,5,Yes,8,1909,624,680,1,44,95.0,50.0,25.0,30,15,19.0,No Donor,train
131,No,No,No,Yes,Yes,1,2,Yes,4,1058,330,414,21,40,139.0,24.0,15.0,28,5,11.58333333,No Donor,train
132,No,No,No,Yes,Yes,1,7,No,8,1120,577,602,7,55,53.0,5.0,5.0,32,9,4.818181818,No Donor,train
133,No,No,Yes,No,Yes,1,2,No,5,863,365,382,7,52,85.0,10.0,10.0,33,5,7.083333333,No Donor,dev
134,Yes,No,No,No,No,1,1,No,8,752,372,400,7,23,31.0,11.0,9.0,34,2,7.75,No Donor,train
135,No,No,No,Yes,No,1,4,Yes,8,748,280,357,26,16,20.0,20.0,20.0,32,5,20.0,Donor,train
136,No,Yes,No,No,No,1,3,Yes,7,388,401,412,12,94,174.0,15.0,14.0,20,7,12.42857143,Donor,train
137,No,No,No,Yes,Yes,1,3,Yes,8,2454,605,625,4,22,30.0,7.0,7.0,29,3,6.0,No Donor,train
138,No,No,Yes,No,No,1,3,Yes,8,875,451,510,13,37,118.0,20.0,15.0,37,2,13.11111111,Donor,train
139,No,No,No,Yes,Yes,1,4,Yes,2,1240,501,582,7,116,236.0,12.0,3.0,32,3,7.866666667,No Donor,train
140,No,No,No,Yes,Yes,1,7,No,8,938,492,536,10,20,25.0,20.0,20.0,31,6,12.5,Donor,train
141,No,No,Yes,No,Yes,1,4,Yes,5,550,72,135,66,73,184.0,10.0,6.0,36,3,5.935483871,Donor,train
142,No,No,Yes,No,Yes,1,1,Yes,4,556,265,356,19,74,311.0,25.0,15.0,37,14,12.44,No Donor,train
143,No,No,No,Yes,Yes,1,4,Yes,8,790,409,457,8,44,82.0,10.0,9.0,30,12,7.454545455,Donor,train
144,Yes,No,No,No,No,2,5,No,8,1263,310,472,26,22,35.0,20.0,20.0,32,5,17.5,Donor,train
145,No,No,No,Yes,Yes,1,4,Yes,9,1397,526,538,5,81,110.0,10.0,5.0,17,25,7.333333333,Donor,dev
146,No,No,Yes,No,Yes,4,4,Yes,8,898,542,521,14,24,42.0,12.0,12.0,31,4,10.5,No Donor,train
147,Yes,No,No,No,Yes,1,4,No,8,1805,477,565,8,26,63.0,15.0,15.0,28,1,7.875,Donor,train
148,No,No,Yes,No,Yes,1,4,No,8,615,327,352,15,40,115.0,20.0,20.0,29,5,16.42857143,Donor,train
149,No,No,Yes,No,Yes,1,2,Yes,8,437,304,285,28,30,42.0,7.0,7.0,29,1,5.25,No Donor,train
150,No,No,No,Yes,Yes,1,3,Yes,8,2348,506,521,16,20,20.0,15.0,15.0,37,5,10.0,No Donor,train
151,No,No,No,Yes,Yes,1,6,No,8,1413,445,466,3,38,50.0,10.0,10.0,32,9,5.0,Donor,train
152,Yes,No,No,No,Yes,1,7,No,9,948,565,595,5,71,222.0,20.0,15.0,30,4,11.1,Donor,train
153,No,No,No,Yes,Yes,1,5,No,8,1620,613,709,0,52,70.0,25.0,20.0,37,27,17.5,Donor,train
154,No,Yes,No,No,Yes,1,3,No,8,397,302,323,29,17,15.0,15.0,15.0,36,5,15.0,No Donor,train
155,No,No,No,Yes,Yes,1,2,Yes,8,908,515,635,4,57,100.0,5.0,3.0,28,3,3.703703704,Donor,train
156,No,No,Yes,No,Yes,1,4,No,8,665,308,314,38,16,15.0,15.0,15.0,37,5,15.0,Donor,train
157,No,Yes,No,No,No,1,1,Yes,8,316,207,235,34,63,65.0,15.0,5.0,29,12,5.909090909,Donor,train
158,No,No,No,Yes,Yes,1,6,No,8,2891,630,678,2,23,32.0,10.0,10.0,28,4,8.0,Donor,train
159,No,No,No,Yes,Yes,1,4,Yes,1,522,220,285,21,57,107.0,36.0,36.0,37,12,17.83333333,No Donor,train
160,No,No,Yes,No,No,1,2,Yes,2,319,169,212,45,134,5674.9,375.0,27.0,33,0,23.94472574,No Donor,dev
161,No,Yes,No,No,No,1,6,No,8,794,530,578,2,46,85.0,15.0,15.0,37,19,12.14285714,Donor,dev
162,No,No,Yes,No,No,1,2,Yes,2,435,353,360,18,65,173.0,10.0,9.0,32,2,5.766666667,No Donor,train
163,No,Yes,No,No,Yes,1,5,Yes,1,371,234,295,32,47,55.0,10.0,7.0,31,16,6.111111111,Donor,dev
164,No,No,No,Yes,Yes,1,4,Yes,8,2411,394,437,13,57,122.0,10.0,7.0,17,3,6.1,No Donor,dev
165,Yes,No,No,No,Yes,1,5,No,8,1786,358,472,9,28,42.0,17.0,17.0,30,9,14.0,Donor,dev
166,No,No,No,Yes,Yes,1,5,No,8,736,253,284,30,31,125.0,25.0,25.0,35,5,25.0,Donor,dev
167,No,No,Yes,No,Yes,1,7,Yes,6,1434,449,485,4,60,129.0,13.0,5.0,37,4,8.0625,Donor,train
168,Yes,No,No,No,No,1,5,Yes,1,550,296,304,20,101,154.0,20.0,20.0,23,3,14.0,No Donor,dev
169,No,No,Yes,No,No,1,3,Yes,8,598,267,325,25,24,51.0,10.0,10.0,31,1,8.5,Donor,train
170,Yes,No,No,No,Yes,1,2,No,1,580,213,264,21,39,60.0,15.0,15.0,31,4,12.0,No Donor,train
171,No,No,Yes,No,Yes,1,4,No,2,537,248,307,29,75,266.0,11.0,8.0,19,3,7.823529412,Donor,train
172,No,Yes,No,No,Yes,1,5,Yes,8,353,248,269,21,25,39.0,11.0,8.0,31,6,7.8,Donor,train
173,Yes,No,No,No,Yes,1,5,Yes,3,2099,684,754,5,75,295.0,15.0,15.0,30,10,9.833333333,No Donor,train
174,No,No,Yes,No,Yes,1,2,Yes,7,536,353,376,6,50,74.0,16.0,15.0,33,3,10.57142857,Donor,dev
175,No,No,Yes,No,Yes,1,4,Yes,2,1100,263,342,20,36,98.0,10.0,4.0,28,2,4.454545455,Donor,train
176,No,Yes,No,No,No,1,2,Yes,4,444,196,263,38,36,178.0,20.0,20.0,37,0,9.888888889,No Donor,train
177,No,Yes,No,No,No,1,3,Yes,8,297,252,290,20,26,35.0,10.0,10.0,29,2,5.833333333,Donor,train
178,No,No,No,Yes,Yes,1,7,No,8,3897,547,723,0,30,67.0,25.0,22.0,34,5,22.33333333,No Donor,train
179,No,No,No,Yes,No,1,4,Yes,6,571,374,393,9,61,79.0,12.0,12.0,37,5,5.642857143,No Donor,train
180,Yes,No,No,No,No,1,3,No,5,558,305,287,25,46,180.0,30.0,15.0,37,1,16.36363636,No Donor,train
181,No,No,No,Yes,No,1,2,Yes,8,835,310,364,22,43,79.0,10.0,5.0,31,2,5.642857143,No Donor,train
182,Yes,No,No,No,Yes,1,1,Yes,2,697,251,343,33,63,105.0,7.0,7.0,30,6,4.772727273,No Donor,train
183,No,Yes,No,No,No,1,5,Yes,2,832,450,491,7,53,98.0,10.0,10.0,28,4,5.764705882,Donor,dev
184,No,No,No,Yes,Yes,1,4,Yes,8,819,415,428,5,26,28.0,10.0,10.0,29,4,5.6,No Donor,train
185,No,Yes,No,No,No,1,1,Yes,8,703,429,501,0,21,25.0,10.0,10.0,30,6,8.333333333,No Donor,train
186,No,Yes,No,No,Yes,1,4,No,1,537,275,306,22,70,91.0,7.0,5.0,17,10,4.333333333,Donor,train
187,No,No,Yes,No,Yes,4,5,No,8,1050,538,618,2,21,30.0,20.0,20.0,34,2,15.0,Donor,train
188,Yes,No,No,No,Yes,1,5,Yes,8,1011,441,483,6,29,36.0,7.0,7.0,33,4,6.0,No Donor,train
189,Yes,No,No,No,Yes,1,4,Yes,5,1622,370,465,18,70,99.0,7.0,6.0,31,15,4.95,Donor,train
190,Yes,No,No,No,Yes,1,1,Yes,5,428,203,271,39,73,161.0,6.0,3.0,32,7,3.659090909,Donor,train
191,No,No,No,Yes,Yes,1,7,Yes,8,3413,509,604,8,23,45.0,25.0,25.0,35,5,22.5,No Donor,dev
192,No,No,No,Yes,Yes,1,4,No,3,1311,358,385,22,73,132.0,9.0,6.0,33,15,6.285714286,No Donor,train
193,No,No,No,Yes,Yes,1,7,Yes,8,5926,1500,1331,0,26,111.0,26.0,26.0,29,2,22.2,Donor,train
194,No,No,Yes,No,Yes,1,4,No,8,424,204,240,40,21,40.0,20.0,20.0,32,5,20.0,No Donor,train
195,No,No,Yes,No,Yes,1,5,No,7,1311,456,466,6,55,135.0,14.0,10.0,31,6,11.25,Donor,train
196,No,No,No,Yes,No,1,1,Yes,8,1464,197,245,35,20,32.0,12.0,12.0,31,3,10.66666667,No Donor,train
197,No,No,Yes,No,Yes,1,7,No,8,677,563,582,3,37,36.0,7.0,7.0,29,8,5.142857143,No Donor,train
198,No,No,Yes,No,Yes,1,2,Yes,8,1033,475,517,5,22,24.0,19.0,19.0,34,10,12.0,No Donor,train
199,No,Yes,No,No,Yes,1,4,Yes,8,414,211,257,34,33,47.0,6.0,4.0,37,6,4.272727273,No Donor,train
200,No,No,No,Yes,Yes,1,4,Yes,8,567,301,345,10,28,133.0,25.0,20.0,29,1,14.77777778,Donor,train
201,Yes,No,No,No,Yes,1,4,Yes,8,742,443,465,11,21,32.0,12.0,10.0,32,3,10.66666667,Donor,dev
202,No,Yes,No,No,No,1,2,Yes,8,798,430,447,7,43,70.0,10.0,5.0,31,7,5.833333333,Donor,train
203,No,No,No,Yes,Yes,1,3,Yes,8,801,337,383,23,41,56.0,10.0,8.0,31,3,7.0,No Donor,train
204,No,No,Yes,No,Yes,1,4,Yes,8,682,416,449,8,75,126.0,12.0,10.0,31,4,6.631578947,Donor,train
205,Yes,No,No,No,Yes,1,6,No,8,1435,457,573,7,16,16.0,16.0,16.0,37,5,16.0,No Donor,train
206,No,No,Yes,No,Yes,1,3,Yes,8,303,240,281,43,30,35.0,10.0,10.0,31,8,7.0,Donor,train
207,Yes,No,No,No,Yes,1,4,No,9,1332,561,646,0,42,135.0,50.0,25.0,29,3,27.0,No Donor,dev
208,No,No,Yes,No,Yes,1,4,No,2,591,310,356,20,63,77.0,11.0,11.0,37,9,4.277777778,Donor,train
209,Yes,No,No,No,Yes,1,2,Yes,8,779,383,430,9,21,32.0,11.0,6.0,28,3,6.4,No Donor,dev
210,No,No,No,Yes,Yes,1,6,Yes,3,1137,324,352,20,98,406.0,15.0,14.0,29,4,8.826086957,Donor,train
211,No,No,No,Yes,No,1,6,Yes,8,594,400,411,10,108,321.0,20.0,20.0,28,3,13.95652174,No Donor,train
212,Yes,No,No,No,Yes,1,4,Yes,8,1224,431,497,11,33,39.0,10.0,10.0,32,11,7.8,No Donor,train
213,No,No,No,Yes,Yes,1,2,No,2,777,282,312,9,44,70.0,15.0,15.0,36,8,11.66666667,No Donor,train
214,No,Yes,No,No,Yes,1,4,No,8,1208,496,501,5,104,404.0,25.0,14.0,17,5,13.46666667,Donor,train
215,No,No,No,Yes,Yes,1,4,Yes,8,2721,208,282,33,24,101.0,32.0,32.0,31,2,25.25,No Donor,train
216,No,No,Yes,No,No,1,1,No,4,1134,348,361,13,41,70.0,25.0,25.0,19,14,17.5,No Donor,train
217,No,No,Yes,No,Yes,1,2,Yes,4,501,321,366,16,84,352.0,20.0,20.0,30,2,8.8,No Donor,train
